society;municipality;square_name;ykj_n;ykj_e;level1;level2;level3;level4;level5
BirdLife Keski-Pohjanmaa ry;Kaustinen;Köyhäjoki;705;334;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Kokkola;Hanhisalo;705;335;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Kokkola;Kotkanneva;705;336;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Lestijärvi;Syri;705;337;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Lestijärvi;Isoneva;705;338;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Reisjärvi;Reisjärven keskusta;705;339;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Reisjärvi;Köyhänperä;705;340;1;84;146;200;236
Keski-Suomen Lintutieteellinen Yhdistys ry;Pihtipudas;Junganperä;705;341;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Pyhäjärvi;Iso Karsikkoneva;705;342;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Pyhäjärvi;Hiidenkylä;705;343;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Pyhäjärvi;Kätkytniemi;705;344;1;67.2;116.8;160;188.8
BirdLife Keski-Pohjanmaa ry;Pyhäjärvi;Vuohtomäki;705;345;1;84;146;200;236
Lintuyhdistys Kuikka ry (Pohjois-Savo);Kiuruvesi;Paajakka;705;346;1;84;146;200;236
Lintuyhdistys Kuikka ry (Pohjois-Savo);Kiuruvesi;Niemiskylä;705;347;1;84;146;200;236
Lintuyhdistys Kuikka ry (Pohjois-Savo);Kiuruvesi;Ryönänjoki;705;348;1;84;146;200;236
Lintuyhdistys Kuikka ry (Pohjois-Savo);Iisalmi;Runni;705;349;1;84;146;200;236
Lintuyhdistys Kuikka ry (Pohjois-Savo);Iisalmi;Iisalmen keskusta;705;350;1;84;146;200;236
Lintuyhdistys Kuikka ry (Pohjois-Savo);Iisalmi;Soinlahti;705;351;1;84;146;200;236
Lintuyhdistys Kuikka ry (Pohjois-Savo);Iisalmi;Madesalmi;705;352;1;84;146;200;236
